,ID_ENTIDAD,ANIO,Agua,Aportaciones Federales,Aportaciones federales,Aprovechamientos,Contribuciones de Mejoras,Cuotas y Aportaciones de Seguridad Social,Derecho adicional sobre extracción del petróleo,Derechos,Escuelas,FA Múltiples,FA para Educación Tecnológica y Adultos,FA para Infraestructura Social Estatal,FA para Nómina Educativa y Gasto Operativo,FA para el Fortalecimiento de los Municipios,FA para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales de la Ciudad de México,FA para la Infraestructura Social Municipal,FA para la Seguridad Pública,FA para los Servicios de Salud,Financiamiento,Fondo de Extracción de Hidrocarburos,Hospitales,Impuestos,Inversión pública,Participaciones federales,Productos,Recursos federales reasignados,Servicios de limpieza y manejo de desechos,Servicios personales,Total de egresos,Total de ingresos,Ingresos_menos_finanzas
78,3,2003,5851000,2488317252,0,7867290,32208414,70104469,0,1312410.0,0.0,63991423,42371876,4197910,1476728775,100157003,0,30438343,0,323844828,100548073,0,0.0,104728370,232257000,1527138894,88439242,446587094,362000,429239000,4510668175,4510668175,4410120102
79,3,2004,5330000,2670668588,0,78854954,25166220,125077584,0,1497193.0,5267520.0,67379000,32891000,4408000,1581287000,108768000,0,31962000,0,377398000,266055000,0,0.0,120524568,179584280,1742328069,114395835,466575588,780000,314104322,5267463584,5267463584,5001408584
80,3,2005,5375071,3141176920,0,132085147,0,36841069,0,3252451.0,4105193.0,67090545,37699786,4994330,1677239014,124633979,0,36213054,0,424339166,195038295,0,3178213.0,207171952,258353057,1955600995,49730820,768967046,781299,504398957,5867504916,5867504916,5672466621
81,3,2006,5846994,3310761872,0,224583256,0,51265511,0,49355098.0,13948525.0,94050231,37612521,5336850,1868176241,134748348,0,38696562,92668306,436953011,110824377,0,32760134.0,279907162,604026213,2312929354,37574702,602519802,1151799,509333785,6855496609,6855496609,6744672232
82,3,2007,3456374,3963249600,0,266252575,0,235974027,0,50886798.0,60645722.0,88344402,39458164,5982440,2027420435,163117622,115032455,43377662,92668306,619297816,611059550,0,30995900.0,345074753,430157892,2511524382,27553202,768550298,2007834,591320828,8409327872,8409327872,7798268322
83,3,2008,3197526,4543800382,0,324465763,0,0,0,50945000.0,3015758.0,95181226,42464435,7195918,2089557416,199997745,126620611,52176360,120580392,826111245,455000000,0,11340188.0,379462333,778150425,2941159325,46724443,983915034,2744417,641045175,8741557246,8741557246,8286557246
84,3,2009,7142001,4492716398,0,967206302,0,0,0,44564990.0,0.0,124259463,44495547,7513490,2221624908,211739363,129780689,54479019,139005076,865559481,414597598,0,14993717.0,354322566,672582043,2954654650,44790603,694259362,5998438,593196473,9869553107,9869553107,9454955509
85,3,2010,3675594,4472136898,0,552397965,0,0,0,43000643.0,221676.0,142548480,47240865,7830335,2303599404,223289010,135043825,56776400,139005076,557400000,1061598174,0,1791367.0,362799151,336608158,2986780527,20912316,859403503,3158974,595792496,9556311504,9556311504,8494713330
86,3,2011,3512290,4573623887,0,447209052,0,0,0,58815787.0,0.0,120415381,50600457,8763868,2414339799,268945178,147865940,63545240,140908700,812348581,2159478305,0,2772002.0,408181565,552660659,3343196847,23808540,545890743,2392589,674576789,11014313983,11014313983,8854835678
87,3,2012,3419196,7312175116,0,62416984,0,0,0,65714886.0,0.0,149647495,52389108,8157200,2479434759,294816551,158428986,59146428,145100000,743000000,403738897,0,1892137.0,579679593,1272684740,3420348206,33863408,3222054589,2431103,772858950,11877937090,11877937090,11474198193
