,ID_ENTIDAD,ANIO,Agua,Aportaciones Federales,Aprovechamientos,Contribuciones de Mejoras,Cuotas y Aportaciones de Seguridad Social,Derechos,Escuelas,Financiamiento,Hospitales,Impuestos,Inversión pública,Participaciones federales,Productos,Servicios de limpieza y manejo de desechos,Total de egresos,Total de ingresos,Ingresos_menos_finanzas
135,5,2002,19268843,7387142226,7532730,305895292,0,388038881.0,130955403.0,0,0.0,358068978,1775918114,4797985778,49094615,0,14502818833,14502818833,14502818833
136,5,2003,0,8181972503,47532000,536353000,0,399636000.0,0.0,0,0.0,333146000,1288244000,5483432497,39549000,0,15345069000,15345069000,15345069000
137,5,2004,37130035,9443953341,42344226,867353582,0,553630403.0,39980742.0,0,0.0,364077389,2588305894,5480871708,44429987,9996829,17325991476,17325991476,17325991476
138,5,2005,31518411,10771559855,56893000,895933000,0,467096000.0,0.0,0,44702095.0,404122000,2416781561,6557738000,130173000,8481656,19858664971,19858664971,19858664971
139,5,2006,38971899,11343985000,43227000,72939000,449690000,568891000.0,150543306.0,0,20837353.0,430760000,2344884277,8047165000,105761000,13333019,21675662106,21675662106,21675662106
140,5,2007,45566710,12876184160,36722392,1043896258,0,875236947.0,162299445.0,0,21265659.0,495453639,4258418483,8008675525,174228512,13202128,25772643000,25772643000,25772643000
141,5,2008,47652202,14853472000,104680000,285979000,0,892107000.0,99073796.0,1300000000,133034493.0,571497000,4777382293,10580300000,113487000,21141954,31409155000,31409155000,30109155000
142,5,2009,36589368,18791762392,61145415,143132314,0,778560286.0,112496061.0,1000000000,153671085.0,527977549,6695313469,9067589275,55600423,18178328,33709294484,33709294484,32709294484
143,5,2010,42888031,14582641750,110754673,240376843,0,1095447561.0,2270353740.0,21229000000,505923332.0,686731683,19150659625,10633513940,97249839,11070281,50238350655,50238350655,29009350655
144,5,2011,0,15357129463,147300706,619075286,0,948018192.0,32806323.0,34321892497,45104056.0,854159702,9133931538,11693223078,48408035,0,65497988578,65497988578,31176096081
145,5,2012,57946494,18177980655,581017119,529695700,0,1151721768.0,3752107.0,0,37693963.0,1789497771,2744806039,11687764160,501097134,14193335,34958497022,34958497022,34958497022
146,5,2013,0,20203115686,274298682,447055000,0,1670461000.0,55369590.0,596929453,44590.0,1813692000,3280039258,12401115916,97533484,0,38614795560,38614795560,38017866107
147,5,2014,54812983,21108530453,216105651,375812051,0,1694286845.0,0.0,2432579776,0.0,2599295807,1869462341,13839453556,79042244,6827712,42345106383,42345106383,39912526607
148,5,2015,65635169,20907167441,495921238,388119070,0,1831205888.0,0.0,3830595841,0.0,2657673489,1700945877,14652530128,48332794,8600891,44811545889,44811545889,40980950048
149,5,2016,70900141,22696019973,352107276,528446508,0,2740957300.0,50870468.0,143068253,66555247.0,3362829029,2107851296,16616263605,55285982,9278525,46494977926,46494977926,46351909673
150,5,2017,89595830,23464381962,453532954,610178860,0,3090375279.0,10322847.0,3656695734,261291347.0,2685692904,2648149501,18109445835,469843307,10187951,52540146835,52540146835,48883451101
151,5,2018,68191202,27804239439,315087616,668946903,0,2882451400.0,0.0,550000000,0.0,2403674382,4153811934,19114201718,188116345,69570193,53926717803,53926717803,53376717803
152,6,1989,0,41800,1523505,0,489470,3663508.0,0.0,7427713,0.0,3547020,17112868,97106669,836503,0,134465151,134465151,127037438
153,6,1990,0,14825,2691700,0,457437,5268353.0,0.0,24158921,0.0,3377024,17956278,143313809,1025085,0,204137168,204137168,179978247
154,6,1991,0,11464,4328976,0,1418248,9632000.0,0.0,16005348,0.0,4636722,24943641,181221760,2595027,0,238275232,238275232,222269884
155,6,1992,0,27380209,7557128,0,1776781,17904738.0,0.0,23586932,0.0,7051764,27491417,219285175,1704720,0,308550341,308550341,284963409
156,6,1993,0,101620154,20127744,0,1460336,16558794.0,0.0,68954966,0.0,5367175,39629607,243482967,4171956,0,461744092,461744092,392789126
157,6,1994,0,272714405,46653864,0,84593,19761513.0,0.0,0,0.0,3110748,43320702,288253931,5774625,0,636353679,636353679,636353679
158,6,1995,0,321491721,47986517,0,0,20602484.0,0.0,102114788,0.0,3520531,96492836,335271324,9242182,0,840229547,840229547,738114759
159,6,1996,0,432364311,8436976,0,151267754,20790345.0,0.0,208646646,0.0,4819535,84817167,494891693,7552573,0,1395321505,1395321505,1186674859
160,6,1997,0,674031860,8272046,0,0,26534864.0,0.0,256470034,0.0,7472993,104594725,651984938,10796561,0,1639325768,1639325768,1382855734
161,6,1998,0,1168986292,6268440,0,0,40859264.0,0.0,0,0.0,10337505,55449465,845651176,39207570,0,2111310247,2111310247,2111310247
162,6,1999,0,1347844302,6897027,0,0,42492008.0,0.0,2829196,0.0,12966872,70316449,1042495496,27953300,0,2508478918,2508478918,2505649722
163,6,2000,0,1801823843,14269298,0,0,74440794.0,0.0,25000000,0.0,19631711,200042315,1365834811,24671318,0,3325671775,3325671775,3300671775
164,6,2001,0,1937605668,18839171,0,0,71153937.0,0.0,58673000,0.0,21872364,211034609,1442211335,16759390,150830,3567114865,3567114865,3508441865
165,6,2002,10800,2124470852,18679288,0,0,74643053.0,0.0,139882717,0.0,24009997,196682006,1500090541,15867513,0,3897643961,3897643961,3757761244
166,6,2003,0,2363970727,109120331,0,0,80516872.0,0.0,193233153,0.0,23742951,248138681,1786998202,20986182,130250,4578568418,4578568418,4385335265
167,6,2004,0,2692291126,19599608,0,0,89965520.0,0.0,20776742,0.0,24559031,209859171,1982247954,13231490,192921,4842671471,4842671471,4821894729
168,6,2005,0,2959224793,48973083,0,0,207902597.0,0.0,143093990,0.0,109287892,351740360,2262892947,14767962,193917,5746143264,5746143264,5603049274
